Día	Punchaw
La próxima semana vamos a preparar mazamorra de calabaza.	Kalawasa apita hawan simana yanusun.
Camote	Apichu
Hay camotes de color amarillo, rojo, morado y blanco.	Apichuqa qillupas pukapas kullipas yuraqpas kanmi.
Puño	Aptisqa maki
Todo los días me hace ver sus puños.	Sapa punchawmi aptisqa makinta qawachiwan.
Dios tutelar.	Apu.
Hombre rico, poderoso.	Apu.
El Dios tutelar Razuhuillca y el Sara Sara conversan entre ellos.	Apu Rasu Willkaqa Apu Sara Sarawan rimanakunmi.
La familia Qinchu Sunchu es muy poderosa.	Qinchu Sunchu Aylluqa llumpay apukunam.
Chicha	Aqa
Bebamos chichita de tuna.	Tunas aqachata upyaykusun.
Cereal crudo molido.	Aqallpa.
Preparemos una sopita de maíz molido.	Sara aqallpachawan lawakurqusun.
Langosta	Aqaruway
La langosta terminó por completo el sembrío.	Tarpuytam aqaruway pasaypaqta tukurqun.
Milano.	Aqchi.
El milano come buscando los gusanos que se encuentran en el excremento de la vaca.	Aqchi waka akapi kuruchakunata maskaspa mikun.
Gramo	Aqnu
¿Cuántos gramos hay en un kilo de cochinilla?	Huk kilu kuchinillapi ¿hayka aqnutaq kan?
Túnica de mujer.	Aqsu.
Habías comprado una túnica hermosa.	Sumaq aqsuta rantirqusqanki.
Arena	Aqu
Reunamos la arena para venderla.	Aquta huñukusun rantikunanchikpaq.
Drama	Aranwa
Comedia	Aranwa
Veamos la comedia sobre la vida de la familia ayacuchana.	Aya Kuchupi ayllupa kawsaynin aranwata qawakusun.
Canto gracioso, burlón y caricaturesco.	Aranway
Nuestro profesor canta bien la canción jocosa.	Amawtanchikqa aranwaychatam sumaqta takin.
Bañarse	Armakuy
Si quieres vivir sano, báñate todos los días.	Allinlla kawsayta munaspaqa sapa punchaw armakuy.
Reír	Asiy
Nos reímos con las canciones jocosas.	Aranwaywanqa asinchikmi.
Erizo	Askanku
El lomo del erizo es espinoso.	Askankupa wasanqa kichkallañam.
Olor	Asna
La rosa tiene un olor aromático.	Rusas waytaqa sumaq asnayuqmi.
Hierbas aromáticas	Asnapa
Condimentos	Asnapa
Ponle hierbas aromáticas a esa sopa.	Chay lawaman asnapata hinaykuy.
Maloliente	Asnaq
Apestoso	Asnaq
Lava tus pies malolientes.	Asnaq chakiykita mayllikuy.
Emanar olor.	Asnay.
Tú hueles rico.	Qam miskichata asnanki.
Bruto	Asnu
Poco inteligente.	Asnu.
El burro está rebuznando.	Asnu hawchityamuchkan.
A ese muchacho le dicen burro.	Wak maqtataqa asnu ninkum.
Acarrear	Astay
Ellos acarrean piedras para construir la casa.	Wasi ruranankupaq rumita astanku.
Vencedor	Atipaq
Carguemos al vencedor.	Atipaqta qipisun.
Vencer	Atipay
Ganar	Atipay
El hombre quiere ganar a todos.	Runaqa pitapas atipayta munan.
Poder	Atiy
El poder del viento causa miedo.	Wayrapa atiyninqa manchakuypaqmi.
Dificilísimo	Atiy atiy
Sobrecargado	Atiy atiy
Yo he ido sobrecargado.	Atiy atiy qipiyuqmi rirqani.
Zorro	Atuq
Cuidado que el zorro se lleve tu gallina.	Atuqñataq wallpaykita suwarqunman.
Alacrán	Atuq atuq
Si te pica el alacrán frótate con siete clases de flores.	Atuq atuq ullurquwaptinchikqa qanchis rikchaq waytawansi qaqukurquna.
Tejer	Away
Urdir	Away
Nuestros antepasados tejían muy bien las ropas.	Ñawpaq runakunaqa sumaqchatam pachakunata awarqanku.
Enemigo	Awqa
Adversario	Awqa
Algunos hombres son enemigos de la escuela.	Wakin runaqa yachay wasipa awqanmi.
Cadáver	Aya
Muerto	Aya
Pálido	Aya
Pálida	Aya
Llevan el cadáver al cementerio.	Pampana wasiman ayata apanku.
La señorita de cara pálida está parada en la esquina.	Aya uyayuq sipas kinraypi sayachkan.
Carne	Aycha
Nosotros no comemos la carne de perro.	Allqu aychataqa manam mikunchikchu.
Comunidad	Ayllu
Familia	Ayllu
Preséntame a tu familia.	Aylluykita riqsichiway.
Reciprocidad	Ayni
Que no desaparezca el trabajo recíproco.	Ayniqa ama chinkachunchu.
Escapar	Ayqiy
Huir	Ayqiy
No se debe escapar de la escuela.	Yachay wasimantaqa manam ayqinachu.
Llevar con la mano.	Aysay.
El hombre lleva agua en balde.	El hombre lleva agua en balde.
Arrastrarse	Aysakuy
Reptar	Aysakuy
Está reptando como el bebé.	Wawahina aysakuchkan.
Enjuagar	Aywiy
Enjuágate las manos.	Makiykita aywiy.
Chachacoma	Chachas
De la chachacoma hacen el carbón.	Chachas sachamanta killimsata ruranku.
Puente	Chaka
Cuando hay mucha lluvia, debemos cruzar el río por el puente.	Llumpayta paraptinqa chakantam mayuta chimpana.
Cruz	Chakana
Tracemos una cruz.	Chakanata qillqasun.
Cruzar	Chakatay
Atravesar	Chakatay
Atorar	Chakatay
Ahogar	Chakatay
Atraviesa la acequia con la madera.	Kaspiwan yarqata chakatay.
Casi muere atragantado con la carne.	Aychawan chakatakurquspa yaqalla wañun.
Pie	Chaki
Seco	Chaki
Me está doliendo el pie.	Chakiy nanawachkan.
Las semillas no germinan en tierra seca.	Chaki allpapiqa manam kawsay wiñanchu.
Roturar	Chakmay
Barbechar, voltear la grama.	Chakmay.
Vamos a roturar la chacra de la escuela.	Yachay wasi chakranchikta chakmasun.
Chacra de cultivo.	Chakra.
Vamos a arar la chacra.	Chakra yapuq hakuchik.
Cazar	Chakuy
Todos los años cazan a las vicuñas.	Sapa wata wikuñata chakunku.
Costa	Chala
La ciudad de Lima está en la costa.	Lima llaqtaqa chalapim kachkan.
Trocar	Chalay
Cambiar	Chalay
Cambiaremos tu chancho por mi oveja.	Kuchiykita chitaywan chalasun.
Pez	Challwa
La carne del pescado es riquísima.	Challwa aychaqa miskillañam.
Pescar	Challway
Vamos a pescar en ese río.	Wak mayupi challwakamusun.
Césped	Champa
Volteemos el césped.	Champata tikrasun.
Hacha	Champi
Cortemos el árbol con esta hacha, luego trocemos leñas.	Kay champiwan sachata takasun, hinaspa yantasun.
Lanzar	Chamqay
Me lanzó un terrón.	Kurpatam chamqarqamuwan.
Valor	Chanin
Precio	Chanin
El precio de esta manta de maíz es dos soles.	Iskay sulismi kay lliklla sarapa chanin.
Sobrar o guardar comida para alguien.	Chanikuy.
Esta comida la guardaré para mi hijo.	Wawaypaqmi chanikusaq.
Pierna	Chanka
Muslo	Chanka
En las piernas del chancho no hay mucha grasa.	Kuchipa chankanpiqa manam llumpay wira kanchu.
Paso largo.	Chankay.
Pasó por encima del costal.	Kustalpa hawanta chankaykun.
Chancaca	Chankaka
La mazamorra preparada con chancaca es muy agradable.	Chankakawan miski miskitam apita ruranku.
Cascabel	Chanrara
Ya está llegando el carnaval para vender cascabeles.	Karnawal hamuchkanña chanrara rantikunapaq.
Chamiza	Chapra
Encienden la candela con chamiza.	Chapra yantawan ninata ratachinku.
Desordenar	Chapuy
Amasar	Chapuy
Al molestarse desordenó toda su ropa.	Llapa pachantam piñakurquspa chapuparqun.
Amasa la harina para hacer el pan.	Akuta tanta ruranapaq chapuy.
Trigo	Chaqipa
Mi padre va a cortar el trigo.	Chaqipa rutuqmi taytay rin.
Aplanado	Chaqla
Pisó la rama hasta aplanarse.	Chaqlay chaqlayta yurata sarurqun.
Mezclado	Chaqru
No mezcles la lengua quechua con el castellano.	Amaya qichwa simita kastillanuwan chaqruychu.
Charango	Charanhu
Nuestro profesor toca el charango.	Amawtanchikqa charanhutam waqachin.
Tortuga	Charapa
Dice que los selváticos comen carne de tortuga.	Charapa aychatas yunka runakuna mikunku.
Áspero	Charpa
Para que la mano áspera se suavice, frótala con limón.	Charpa maki llampuyananpaq limunwan llusiy.
Venus	Chaska
Todos los días al amanecer se ve el planeta Venus.	Sapa punchawmi achikyamuptin chaskaqa qawakun.
Recibir	Chaskiy
Tienen que recibir la leche hervida que les alcanzo.	Ñukñu timpu haywasqaytam chaskiwankichik.
Lavador de arcilla.	Chapa.
Arreglemos el lavador de arcilla.	Chapata allichasun.
Vasija	Chatu
Cántaro	Chatu
Alcánzame un cántaro de chicha.	Huk puyñu aqata haywaykamuway.
Crudo	Chawa
El cóndor come carne cruda.	Kunturqa chawa aychallatam mikun.
Mitad	Chawpi
Medio	Chawpi
Centro	Chawpi
Mi madre llegó a medianoche.	Chawpi tutatam mamay chayarqamuy.
¡Dónde se encontrará el centro de la tierra!	¡Maypiraqyá allpapa chawpinqa!
Cocido	Chayasqa
Cocida	Chayasqa
Hay que comer comida cocida.	Chayasqa mikuytam mikuna.
Chupe de chuño.	Chayru.
El chairo lo sirven en mate grande.	Anqarapim chayru mikuyta qarantu.
Granizo	Chikchi
Dónde estaré cuando me agarre la granizada.	¡Chikchi paralla hapiwaptin, maypiraq kasaq!
Huacatay silvestre.	Chikchimpay.
A la sopa se debe echar huacatay silvestre.	Lawaman chikchimpaychata hinana.
Malagüero	Chiki
Malagüera	Chiki
El tuku malagüero me rodea.	Chiki tukum muyupayawan.
Piar	Chilakyay
Los pollitos están piando por falta de comida.	Mikuymanta chiwchikuna chilakyamuchkan.
Sonaja	Chilchi
En la fiesta del Sol tocan las sonajas.	Inti raymipi chilchita waqachinku.
Grillo	Chilliku
Dice que el grillo dentro de la casa es de mal augurio.	Wasi ukupi chillikuqa chikis.
Cuña	Chillpa
Busca una cuña para sostener la mesa.	Chillpata maskamuy misa takyachinapaq.
Retaceado	Chillpi
Con flecos.	Chillpi.
¿No has visto a mi vaca que tiene las orejas flecadas?	¿Chillpi rinri wakayta manachu rikurqanki?
Cruzar	Chimpay
Cruzo los ríos solo por los puentes.	Mayuta chimpani chaka chakallanta.
Extraviar	Chinkay
Perdióse la plata.	Qullqi chinkarqun.
Jilguero	Chinqu
Qué bonito canta el jilguero.	Ima sumaqtam chinqu takichkan.
Saltar	Chintay
Las vizcachas están saltando en las rocas.	Wiskakakuna raqchipi chintachkanku.
Mono	Chipi
Los monos viven en la selva.	Chipikunaqa yunkapim kawsan.
Pellizcar	Chiptiy
¡No me pellizques!	¡Ama chiptiwaychu!
Verdad	Chiqa
Certeza	Chiqa
La verdad vence a la mentira.	Chiqam atipan llullataqa.
Moteado	Chiqchi
Te venderé el toro moteado.	Chiqchi turuta rantikurqusqayki.
Odiar	Chiqniy
Aborrecer	Chiqniy
No debemos odiar a nuestros semejantes.	Runa masinchiktaqa manam chiqninachu.
Ruiseñor	Chiqullu
Ese hombre es tan hablador como el ruiseñor.	Chay runaqa chiqulluhina rimaysapam.
Arco iris	Chirapa
¡Oh, arco iris, hijo de la luna, exprime tus lágrimas para mí!	¡Killapa wawan hatun chirapa, wiqillaykita qapiykamuway!
Sequía	Chiraw
Hambruna	Muchuy pacha
Los animales están muriendo por la sequía.	Chiraw chayarqamuptinmi uywakuna wañuykuchkan.
Ya estamos próximos a tiempos de hambruna.	Muchuy pachaman yaykuchkanchikñam.
Frío	Chiri
La comida fría puede causar dolor de estómago.	Chiri mikunaqa wiksatam nanachinman.
Tarde	Chisi
Irá por la tarde.	Chisinkuyta rinqa.
Atardecer	Chisiyay
Anochecer	Chisiyay
Viajará al atardecer.	Chisiyaytam illanqa.
Por cultivar el maíz me anochecí.	Sara hallmasqaypi chisiyarquni.
Ovino	Chita
Arreemos a las ovejas a su corral.	Chitakunata qinchanman qatiykusun.
Partir	Chitqay
¡Parte el tronco para cocinar!	¡Yanukunapaq kulluta chitqay!
Zorzal	Chiwaku
En el nido del zorzal había dos huevitos.	Chiwakupa qisanpi iskay runtuchakuna kasqa.
Pollo	Chiwchi
Los pollos estaban piojosos.	Chiwchikunaqa usasapam kachkasqaku.
Liendre	Chiya
Para que tu cabeza no esté llena de liendres debes lavarte todos los días.	Umayki mana chiyallaña kananpaq, sapa punchaw taqsakuwaq.
Maguey	Chuchaw
Vamos a cortar madera de maguey.	Chuchaw qiruta kuchumusun.
Chochoca	Chuchuqa
La sopa de chochoca es rica.	Chuchuqa lawaqa miskicham.
Cabello	Chukcha
Pelo	Chukcha
Voy a cortar el cabello cano de ese anciano.	Wak machuchapa yuraq chukchantam rutusaq.
Paludismo	Chukchu
Malaria	Chukchu
Cuando fue a la selva le dio el paludismo.	Yunka risqanpim chukchuwan hapichikamun.
Sombrero	Chuku
He perdido mi sombrero.	Chukuytam wischurquni.
Mantilla de la cabeza.	Chukulli.
Alcánzame mi mantilla de cabeza.	Chukulliyta quykamuway.
Catarro	Chulli
Gripa	Chulli
Estoy con gripa.	Chulliwanmi kachkani.
Callo	Chullpi
Si caminas con zapatos ajustados te saldrán callos en los pies.	Tiquy tiquy sapatuwan puriptiykiqa chakiykim chullpiyanqa.
Hielo	Chullunku
Helada	Chullunku
Cuando se hinche tu cabeza ponte emplasto de hielo.	Umayki punkiruptinqa, chullunkuwan laqay.
Disolver	Chulluy
Remojar	Chulluy
Remoja el frijol para cocinar.	Purututa yanukunapaq chulluy.
diez	Chunka
Diez	Chunka
Este trabajo lo terminaremos en diez días.	Chunka punchawpim kay ruranata gispichisun.
Papa deshidratada.	Chuñu.
Nariz de animales.	Chuñu.
Pongamos chuño al patachi.	Patachiman chuñuta hinasun.
Se había incrustrado una espina en la nariz de la vaca.	Wakapa chuñunman kichka laqakarqamusqa.
Cola	Chupa
Rabo	Chupa
Los animales espantan a las moscas con su rabo.	Uywakunaqa chupanwanmi chuspita manchachin.
Sopa	Chupi
Vagina	Chupi
Sexo femenino.	Chupi.
Mi madre había preparado sopa de olluco.	Ulluku chupita yanukusqa mamayqa.
Cuando los animales hembras están por parir se les hincha la vagina.	China uywakuna wachanayaypaq kaptinqa chupinmi punkiyta qallaykamun.
Metal	Chuqi
Estamos chancando el metal.	Chuqitam takachkanchik.
Choclo	Chuqllu
Sancochemos el choclo para comer con queso.	Chuqlluta yanukusun kisuyuq mikunapaq.
Tuerto	Chuqru
Duro	Chuqru
Crudo	Chuqru
El perro tuerto está ladrando.	Chuqru allqum anyachkan.
Esta papa todavía está dura, todavía no ha cocinado.	Kay papaqa kapkaraqmi kachkan, manam chayasqaraqchu.
Cono	Chuqu
Atado	Chuqu
Confeccionan dos conos para ponerlos en su cabeza.	Umanman churakunankupaq iskay chuquta ruranku.
Voy a cargar dos atados de carrizo.	Iskay chuqu suqusta wikrisaq.
Poner	Churay
¡Ponte la pollera!	¡Waliykita churakuy!
Hijo	Churi
Hija	Churi
El hijo de Inti está llorando.	Intipa churin waqachkan.
Caracol	Churu
Vamos a coger los caracoles que están al borde del río.	Mayu patanpi churukunata huqarimusun.
Pico	Churuna
Herramienta de labranza	Churuna
Debemos cortar el pico a los pollos para que no se picoteen.	Chiwchikunapa churunanta quruykuna mana tuspanakunankupaq.
Haz hueco con la herramienta.	Churunawan uchkuy.
Procrear	Churiyay
Engendrar	Churiyay
Cuando se engendra un hijo no hay que abandonarlo; por el contrario, se le debe alimentar, vestir y educar.	Churiyarquspaqa manam churita saqirqunachu, aswanmi mikuchina, pachachina, yachay wasiman churana.
Lechuza	Chusiq
Cuando la lechuza canta morirá una persona.	Chusiq waqaptinqa runam wañunqa.
Mosca	Chuspi
La mosca es causante de enfermedades.	Chuspimantam unquy kan.
Plato	Chuwa
Me ha servido un plato de sopa.	Huk chuwa chupitam qaraykuwan.
Limpio	Chuya
Saca el agua limpia.	Chuya yakuta wisimuy.
Clarificar	Chuyayachiy
¡Clarifica el agua turbia!	¡Putka yakuta chuyayachíy!
Puñado	Hachi
Aquí sembraremos un puñado de maíz.	Huk hachi saratam kaypi tarpusun.
Estornudar	Hachiy
Cuando tenemos resfrío, estornudamos.	Chulliwan kaspaqa hachinchikmi.
Pájaro carpintero.	Hakachu.
Boquiabierto	Hakachu
Distraído	Hakachu
El pájaro carpintero tiene el cuello delgado.	Hakachu pisquqa llañu kunkam.
A la gente distraída no le importa nada.	Hakachu runataqa imapas qukunchu.
Tartamudo	Hakllu
No hay que reprender al niño tartamudo.	Hakilu warmataqa amam qaqchanachu.
Cultivar	Hallmay
Aporcar por primera vez.	Hallmay.
Aporcamos la papa para que produzca bien.	Allin rurunanpaq papata hallmanchik.
Garrapata	Hamaku
La garrapata de las vacas se elimina con el zumo de la cabuya.	Wakapa hanlakuntaqa paqpapa yakunwanmi wañuchina.
Cancha	Hamka
Tostado	Hamka
Mastiquemos la cancha.	Hamkata kachukusun.
Tostar	Hamkay
Tuesta las habas para el desayuno.	Upitupaq hawasta hamkay.
Sapo	Hampatu
El sapo es ovíparo.	Hampatuqa runtumanta paqariqmi.
Curandero	Hampikuq
Cuando mi hijo se asusta llamo al curandero.	Churiy manchakuptinqa hampikuqtam qayani.
Curar	Hampiy
El profesor me curó cuando me disloqué.	Yachachiqmi muqakurquptiy hampiwarqa.
Aconsejar	Hamutay
Orientar	Hamutay
Reflexionar	Hamutay
Mi padre me aconsejó no escapar de la escuela.	Manaña yachay wasimanta ayqinapaqmi taytay hamutawarqa.
Reflexiona sobre las lecciones del profesor.	Amawtanpa yachachisqanmantam hamutan.
Venir.	Hamuy.
Mi vecino viene a hablar con el profesor.	Wasi masiymi amawtawan rimaq hamuchkan.
Cielo	Hanay pacha
Firmamento	Hanay pacha
En el firmamento las estrellas brillan de noche.	Hanaq pachapim quyllurkuna tuta kancharimun.
Arriba	Hanay
Vamos arriba.	Haku hanayta.
Bostezar	Hanllapakuy
Bostezo	Hanllapakuy
Estoy bostezando.	Hanllapakuchkani.
Tengo bostezo.	Hanllapakuywan kachkani.
Abrir la boca.	Hanllariy.
¡Abre la boca para ver tu lengua!	¡Hanllariy qalluyki qawanaypaq!
Agarrar	Hapiy
Tomar con las manos.	Hapiy.
Agarra esta manta.	Kay llikllata hapiy.
Canto quejumbroso.	Harawi.
Yaraví	Harawi
¡Cantemos un yaraví!	¡Huk harawita takisun!
Declamar	Harawiy
Cantar	Harawiy
En el matrimonio dos mujeres cantaron lamentos amorosos.	Kasarakuypi iskay warmikuna harawirqaku.
Grande.	Hatun.
Alto.	Hatun.
Sembremos en la chacra grande.	Hatun chakrapi tarpukusun.
Bombo.	Hatun tinya.
Traigan el bombo para llamar a la gente.	Runakuna qayanapaq hatun tinyata apamuy.
Afuera	Hawa
La mujer está afuera.	Warmiqa hawapim kachkan.
Habas	Hawas
Están preparando picante de habas.	Hawas pikantita yanuchkanku.
Picante	Hayaq
La comida está muy picante.	Hayaq hayaqmi mikuyqa kachkan.
Vesícula biliar.	Hayaqnin.
La bilis del chancho es buena contra la acidez.	Kuchipa hayaqninqa puchqullipaq allin.
Picar	Hayay
Esta comida pica.	Kay mikunaqa hayanmi.
Himno	Haylli
Canto triunfal.	Haylli.
Está cantando un himno.	Hayilitam takichkan.
Entonar triunfos.	Haylliy.
Para azotarse los pies entonan cantos triunfales.	Siqullunakunanpaq haylliykun.
Patada	Hayta
Puntapié	Hayta
La patada de mula duele mucho.	Mulapa haytanqa nanakunmi.
Pelota	Haytana
Alcancémosles la pelota para que jueguen.	Haytanata haywasun pukllanankupaq.
Patear	Haytay
El niño patea al perro.	Qari warma allquta haytan.
Alcanzar	Hayway
¡Alcánzame pues mis pantalones!	¡Haywaykamuwayyá warayta!
